field name,suomi,english
id,Rivin (ruokakunnan) tunnus,household id
plot.number,Tontin numero,plot number
taxpayer.men,Henkiveroa maksavia miehiä,men paying head tax
taxpayer.women,Henkiveroa maksavia naisia,women paying head tax
no.tax.men,Yli- tai ali-ikäisiä tai muusta syystä vapautettuja miehiä,men exempt from head tax
no.tax.women,Yli- tai ali-ikäisiä tai muusta syystä vapautettuja naisia,women exempt from head tax
in.russia.men,Venäjällä passilla oleskelevia miehiä,men legally residing in Russia proper
in.russia.women,Venäjällä passilla oleskelevia naisia,women legally residing in Russia proper
total.men,Miehiä yhteensä,total men
total.women,Naisia yhteensä,total women
upper,Ylempää keskiluokkaa tai yläluokkaa,upper middle class or upper class
lower,Alempaa keskiluokkaa,lower middle class
worker.industry,Teollisuustyöläinen,industrial worker
worker.other,Muu työläinen,other worker
orthodox,Ortodokseja,orthodox
other.christian,Muita kuin luterilaisia ja ortodokseja kristittyjä,Non-lutheran and non-orthodox christian
other.religion,Muita uskontoja,other religions
draft,Asevelvollinen,draftee
